congener,C_root_dw,C_stem_dw,C_leaf_dw,C_grain_dw,water_ngL,water_quality,TF_stem_fw,TF_leaf_fw,TF_grain_fw,BAF_root_fw,BAF_straw_fw,BAF_grain_fw,B_root_model_fw
PFBA,1.462,2.35,0.992,,17.9,med,2.733,1.493,,8.168,18.204,,1.18
PFHxA,0.89,0.644,0.58,1.002,2.5,rough,1.23,1.434,7.885,35.6,47.736,280.7,1.6
PFOA,1.024,0.418,0.324,0.198,46.7,good,0.694,0.696,1.35,2.193,1.549,2.96,4.17
PFBS,0.514,0.306,0.265,1.418,1.3,rough,1.012,1.134,19.304,39.538,42.825,763.269,2.41
PFOS,0.902,0.316,0.248,0.103,0.4,poor,0.596,0.605,0.795,225.5,137.475,179.375,49.4
